Ngo Name,Ngo ID,Location,Year Founded,Website,Founder,Email,Phone,Address
The Giving Tree,224185,"Chennai, Tamil Nadu",2007,www.thegivingtree.org,Sunita Reddy,contact@thegivingtree.org,9175927689,"No. 445, 3rd Street, Periyar Nagar, Hyderabad - 133109"
Global Welfare Network,471761,"Chennai, Tamil Nadu",2016,www.globalwelfarenetwork.org,Neha Gupta,contact@globalwelfarenetwork.org,9175927689,"No. 275, 5th Street, Gandhi Nagar, Mumbai - 453445"
Mission Compassion,811121,"Chennai, Tamil Nadu",2002,www.missioncompassion.org,Sunita Reddy,contact@missioncompassion.org,9175927689,"No. 298, 2nd Street, Shanthi Colony, Hyderabad - 766673"
Inspire Change,678568,"Chennai, Tamil Nadu",2018,www.inspirechange.org,Sunita Reddy,contact@inspirechange.org,9175927689,"No. 83, 3rd Street, Gandhi Nagar, Mumbai - 575938"
The Helping Force,780035,"Chennai, Tamil Nadu",2018,www.thehelpingforce.org,Priya Sharma,contact@thehelpingforce.org,9175927689,"No. 329, 1st Street, Shanthi Colony, Chennai - 274042"
Rainbow Outreach,343503,"Chennai, Tamil Nadu",2007,www.rainbowoutreach.org,Amit Verma,contact@rainbowoutreach.org,9175927689,"No. 132, 5th Street, Rajaji Street, Hyderabad - 141762"
United Aid Foundation,811181,"Chennai, Tamil Nadu",2001,www.unitedaidfoundation.org,Priya Sharma,contact@unitedaidfoundation.org,9175927689,"No. 63, 1st Street, Periyar Nagar, Bangalore - 442013"
Justice & Care,834074,"Chennai, Tamil Nadu",2008,www.justice&care.org,Priya Sharma,contact@justice&care.org,9175927689,"No. 275, 4th Street, Gandhi Nagar, Bangalore - 642405"
Path to Success,536482,"Chennai, Tamil Nadu",2021,www.pathtosuccess.org,Priya Sharma,contact@pathtosuccess.org,9175927689,"No. 180, 2nd Street, Periyar Nagar, Hyderabad - 100608"
Act for Humanity,484925,"Chennai, Tamil Nadu",2009,www.actforhumanity.org,Neha Gupta,contact@actforhumanity.org,9175927689,"No. 273, 4th Street, Rajaji Street, Bangalore - 628110"
Hope Springs,815987,"Chennai, Tamil Nadu",2018,www.hopesprings.org,Sunita Reddy,contact@hopesprings.org,9175927689,"No. 122, 1st Street, MG Road, Delhi - 535770"
Beacon of Light,193624,"Chennai, Tamil Nadu",2007,www.beaconoflight.org,Sunita Reddy,contact@beaconoflight.org,9175927689,"No. 144, 5th Street, Gandhi Nagar, Delhi - 874779"
Solidarity Mission,709777,"Chennai, Tamil Nadu",2003,www.solidaritymission.org,Sunita Reddy,contact@solidaritymission.org,9175927689,"No. 304, 3rd Street, Periyar Nagar, Delhi - 561196"
Thrive Together,158440,"Chennai, Tamil Nadu",2005,www.thrivetogether.org,Neha Gupta,contact@thrivetogether.org,9175927689,"No. 83, 5th Street, MG Road, Hyderabad - 835621"
Hand in Hand,418338,"Chennai, Tamil Nadu",2018,www.handinhand.org,Amit Verma,contact@handinhand.org,9175927689,"No. 330, 5th Street, Periyar Nagar, Chennai - 913853"
Wings of Hope,859540,"Chennai, Tamil Nadu",2005,www.wingsofhope.org,Priya Sharma,contact@wingsofhope.org,9175927689,"No. 137, 2nd Street, Periyar Nagar, Delhi - 320385"
Life Enrichment Center,399755,"Chennai, Tamil Nadu",2011,www.lifeenrichmentcenter.org,Rajesh Kumar,contact@lifeenrichmentcenter.org,9175927689,"No. 292, 2nd Street, Periyar Nagar, Hyderabad - 100303"
